0.0771971 0.902703 -0.423283 0.0849168	0.992973	-0.465612
0.133236 0.898671 -0.417899 0.14656	0.988538	-0.459689
0.187156 0.890889 -0.413871 0.205872	0.979978	-0.455258
0.239272 0.879644 -0.411067 0.263199	0.967608	-0.452173
0.289825 0.865098 -0.409399 0.318808	0.951607	-0.450339
0.338929 0.847328 -0.408856 0.372822	0.93206	-0.449741
0.386741 0.826328 -0.409408 0.425415	0.908961	-0.450348
0.433383 0.802005 -0.411058 0.476721	0.882205	-0.452163
0.478876 0.774203 -0.41387 0.526764	0.851623	-0.455257
0.523287 0.742646 -0.417908 0.575616	0.816911	-0.459699
0.566649 0.706929 -0.423274 0.623314	0.777622	-0.465601
0.608889 0.666495 -0.430161 0.669778	0.733145	-0.473178
0.649953 0.620485 -0.438819 0.714948	0.682533	-0.482701
0.689663 0.567636 -0.449622 0.758629	0.624399	-0.494584
0.727668 0.505887 -0.463239 0.800434	0.556475	-0.509563
0.763306 0.431522 -0.480824 0.839635	0.474673	-0.528906
0.79491 0.336376 -0.504945 0.874401	0.370013	-0.55544
0.816364 0.192653 -0.544474 0.898	0.211918	-0.598921
-0.542537 0.670762 -0.5057 -0.596791	0.737838	-0.556269
-0.407985 0.790477 -0.456831 -0.448784	0.869525	-0.502514
-0.313092 0.846666 -0.430319 -0.3444	0.931331	-0.47335
-0.232096 0.881415 -0.411399 -0.255306	0.969556	-0.452539
-0.159169 0.903988 -0.396831 -0.175086	0.994386	-0.436514
-0.0917647 0.91825 -0.385225 -0.100941	1.01007	-0.423747
-0.02845 0.926252 -0.37583 -0.031295	1.01888	-0.413413
0.0316068 0.929193 -0.368241 0.0347675	1.02211	-0.405065
0.0890027 0.927859 -0.362154 0.097903	1.02065	-0.398369
0.144204 0.922766 -0.357363 0.158624	1.01504	-0.393099
0.197464 0.914254 -0.353764 0.217211	1.00568	-0.38914
0.249059 0.902547 -0.351252 0.273965	0.992802	-0.386377
0.299205 0.887777 -0.349755 0.329126	0.976555	-0.384731
0.348 0.870005 -0.349267 0.3828	0.957006	-0.384194
0.395589 0.84922 -0.349763 0.435148	0.934142	-0.38474
0.442091 0.825339 -0.351243 0.4863	0.907873	-0.386368
0.487525 0.79823 -0.353763 0.536277	0.878053	-0.38914
0.531963 0.767659 -0.357371 0.58516	0.844425	-0.393108
0.575449 0.733286 -0.362145 0.632994	0.806615	-0.39836
0.617932 0.694665 -0.36824 0.679725	0.764131	-0.405064
0.659394 0.65111 -0.375841 0.725333	0.716221	-0.413425
0.699723 0.601664 -0.385215 0.769695	0.66183	-0.423737
0.738697 0.544845 -0.39683 0.812567	0.59933	-0.436513
0.77594 0.478193 -0.411411 0.853534	0.526012	-0.452552
0.810626 0.397197 -0.430307 0.891687	0.436916	-0.473336
0.840592 0.291055 -0.456828 0.924652	0.32016	-0.502511
0.855458 0.11152 -0.505723 0.941004	0.122672	-0.556295
-0.483661 0.771012 -0.414262 -0.532027	0.848113	-0.455689
-0.378146 0.842641 -0.38344 -0.415959	0.926902	-0.421783
-0.291656 0.885155 -0.362562 -0.320821	0.97367	-0.398818
-0.214973 0.91301 -0.346704 -0.23647	1.00431	-0.381374
-0.144748 0.931345 -0.334137 -0.159223	1.02448	-0.36755
-0.0792079 0.942752 -0.323951 -0.0871287	1.03703	-0.356347
-0.0172567 0.948731 -0.315613 -0.0189824	1.0436	-0.347175
0.0417647 0.950201 -0.308827 0.0459412	1.04522	-0.339709
0.0983551 0.947788 -0.303354 0.108191	1.04257	-0.333689
0.152918 0.941912 -0.299028 0.16821	1.0361	-0.32893
0.205671 0.932856 -0.295769 0.226238	1.02614	-0.325346
0.256862 0.920807 -0.293491 0.282548	1.01289	-0.32284
